"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11513","Загрузка и удаление логотипа в Contractor Profile Setup","firefox","Thu Apr 30 09:52:32 UTC 2026","failed","Thu Apr 30 09:52:44 UTC 2026","Business Logo Management Suite @regression","ui/navigation/E Login and Navigation to Contractor Profile Setup - User use Lite plan.spec.ts","",""
"","18403","Password: Валидация и безопасность","firefox","Thu Apr 30 09:45:26 UTC 2026","passed","Thu Apr 30 09:45:44 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","1","Password - проверка минимальной длины","chromium","Thu Apr 30 09:08:19 UTC 2026","skipped","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","webkit","Thu Apr 30 09:58:58 UTC 2026","skipped","Thu Apr 30 09:58:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","16803","Password Confirmation: Валидация и стили","chromium","Thu Apr 30 09:23:54 UTC 2026","passed","Thu Apr 30 09:24:11 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Проверка видимости полей формы","webkit","Thu Apr 30 09:58:58 UTC 2026","skipped","Thu Apr 30 09:58:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","chromium","Thu Apr 30 09:28:22 UTC 2026","skipped","Thu Apr 30 09:28:22 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","3450","Успешная авторизация с валидными данными","chromium","Thu Apr 30 09:08:15 UTC 2026","failed","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","16419","Навигация и проверка страницы Account Settings с валидацией поля Name","chromium","Thu Apr 30 09:30:04 UTC 2026","failed","Thu Apr 30 09:30:20 UTC 2026","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","6360","Business Name: Валидация и стили","chromium","Thu Apr 30 09:18:21 UTC 2026","passed","Thu Apr 30 09:18:27 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","17564","Password Confirmation: Валидация и стили","firefox","Thu Apr 30 09:49:09 UTC 2026","passed","Thu Apr 30 09:49:26 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Проверка стилей элементов","firefox","Thu Apr 30 09:50:16 UTC 2026","skipped","Thu Apr 30 09:50:16 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","0","Password - проверка максимальной длины","chromium","Thu Apr 30 09:08:19 UTC 2026","skipped","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка лишних пробелов","webkit","Thu Apr 30 09:58:58 UTC 2026","skipped","Thu Apr 30 09:58:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Функциональные клики в навигации","chromium","Thu Apr 30 09:24:53 UTC 2026","skipped","Thu Apr 30 09:24:53 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","1","Валидация обязательных полей","firefox","Thu Apr 30 09:33:04 UTC 2026","skipped","Thu Apr 30 09:33:04 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","28266","Password: Валидация и безопасность","webkit","Thu Apr 30 10:06:24 UTC 2026","passed","Thu Apr 30 10:06:53 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","8444","Search, Sort and View Admin Details","firefox","Thu Apr 30 09:32:32 UTC 2026","passed","Thu Apr 30 09:32:41 UTC 2026","Admin Panel / All Admins Management @regression","ui/admin/Q Admin Panel All Admins.spec.ts","",""
"","0","Password - проверка безопасности (XSS и SQL-инъекции)","webkit","Thu Apr 30 09:58:58 UTC 2026","skipped","Thu Apr 30 09:58:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация формата email","firefox","Thu Apr 30 09:33:04 UTC 2026","skipped","Thu Apr 30 09:33:04 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без @ (user)","chromium","Thu Apr 30 09:08:19 UTC 2026","skipped","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка пробелов","webkit","Thu Apr 30 09:58:58 UTC 2026","skipped","Thu Apr 30 09:58:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Неуспешная авторизация с неверными данными","chromium","Thu Apr 30 09:08:19 UTC 2026","skipped","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","6243","01 - Авторизация и навигация на страницу Explanation","firefox","Thu Apr 30 09:51:52 UTC 2026","failed","Thu Apr 30 09:51:59 UTC 2026","Login and Navigation Suite @regression @smoke","ui/navigation/D Login and Navigation to Explanation - User use Lite plan.spec.ts","",""
"","17666","Password: Валидация и безопасность","chromium","Thu Apr 30 09:20:18 UTC 2026","passed","Thu Apr 30 09:20:36 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Несуществующий запрос","firefox","Thu Apr 30 09:50:16 UTC 2026","skipped","Thu Apr 30 09:50:16 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Проверка производительности","firefox","Thu Apr 30 09:50:16 UTC 2026","skipped","Thu Apr 30 09:50:16 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","6597","Навигация к форме Homeowner Signup и проверка отображения","firefox","Thu Apr 30 09:48:20 UTC 2026","passed","Thu Apr 30 09:48:26 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Email - проверка лишних пробелов","firefox","Thu Apr 30 09:33:04 UTC 2026","skipped","Thu Apr 30 09:33:04 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","UI/UX: Проверка адаптивности и пользовательского интерфейса","firefox","Thu Apr 30 09:48:19 UTC 2026","skipped","Thu Apr 30 09:48:19 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Валидация некорректного email: без имени пользователя (@test.com)","webkit","Thu Apr 30 09:58:58 UTC 2026","skipped","Thu Apr 30 09:58:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Registration Submission: End-to-End Flow","chromium","Thu Apr 30 09:23:08 UTC 2026","skipped","Thu Apr 30 09:23:08 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Визуальные проверки и доступность","chromium","Thu Apr 30 09:24:53 UTC 2026","skipped","Thu Apr 30 09:24:53 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","39398","Email: Проверка форматов и безопасности","webkit","Thu Apr 30 10:05:35 UTC 2026","passed","Thu Apr 30 10:06:14 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","4253","Delete Admin Action - Cancel/Dismiss @new","firefox","Thu Apr 30 09:32:41 UTC 2026","passed","Thu Apr 30 09:32:45 UTC 2026","Admin Panel / All Admins Management @regression","ui/admin/Q Admin Panel All Admins.spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","firefox","Thu Apr 30 09:33:04 UTC 2026","skipped","Thu Apr 30 09:33:04 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","26272","Навигация и проверка страницы Reviews Settings","chromium","Thu Apr 30 09:28:22 UTC 2026","passed","Thu Apr 30 09:28:49 UTC 2026","Reviews Settings Suite @regression","ui/navigation/G Login and Navigation to Reviews Settings - User use Lite plan.spec.ts","",""
"","0","Password - проверка отображения (скрыт/показать)","chromium","Thu Apr 30 09:08:19 UTC 2026","skipped","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидный поисковый запрос через Enter","chromium","Thu Apr 30 09:24:53 UTC 2026","skipped","Thu Apr 30 09:24:53 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","5982","Business Phone Number: Валидация и форматы","chromium","Thu Apr 30 09:20:12 UTC 2026","passed","Thu Apr 30 09:20:18 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Несуществующий запрос","chromium","Thu Apr 30 09:24:53 UTC 2026","skipped","Thu Apr 30 09:24:53 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Registration Submission: End-to-End Flow","webkit","Thu Apr 30 10:04:05 UTC 2026","skipped","Thu Apr 30 10:04:05 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","6505","Business Phone Number: Валидация и форматы","firefox","Thu Apr 30 09:45:19 UTC 2026","passed","Thu Apr 30 09:45:26 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","6880","Комплексная проверка элементов хедера и навигации","firefox","Thu Apr 30 09:58:10 UTC 2026","passed","Thu Apr 30 09:58:17 UTC 2026","Header Navigation Audit @regression","ui/navigation/N Header Navigation and UI Audit.spec.ts","",""
"","8843","Загрузка и удаление логотипа в Contractor Profile Setup","chromium","Thu Apr 30 09:27:17 UTC 2026","failed","Thu Apr 30 09:27:26 UTC 2026","Business Logo Management Suite @regression","ui/navigation/E Login and Navigation to Contractor Profile Setup - User use Lite plan.spec.ts","",""
"","0","Forgot Password - проверка функциональности","webkit","Thu Apr 30 09:58:58 UTC 2026","skipped","Thu Apr 30 09:58:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Forgot Password - проверка функциональности","firefox","Thu Apr 30 09:33:04 UTC 2026","skipped","Thu Apr 30 09:33:04 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Неуспешная авторизация с неверными данными","firefox","Thu Apr 30 09:33:04 UTC 2026","skipped","Thu Apr 30 09:33:04 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Спецсимволы и длинный запрос","firefox","Thu Apr 30 09:50:16 UTC 2026","skipped","Thu Apr 30 09:50:16 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","chromium","Thu Apr 30 09:08:19 UTC 2026","skipped","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","34632","Email: Проверка форматов и безопасности","firefox","Thu Apr 30 09:44:45 UTC 2026","passed","Thu Apr 30 09:45:19 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","71874","Full Name: Валидация и форматы","firefox","Thu Apr 30 09:43:33 UTC 2026","passed","Thu Apr 30 09:44:45 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Password - проверка сообщения об ошибке для пустого поля","chromium","Thu Apr 30 09:08:19 UTC 2026","skipped","Thu Apr 30 09:08:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
