"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38978","Email: Проверка форматов и безопасности","webkit","Sun May 10 09:45:59 UTC 2026","passed","Sun May 10 09:46:38 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Email - проверка спецсимволов","chromium","Sun May 10 08:49:19 UTC 2026","skipped","Sun May 10 08:49:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","16476","Загрузка документа на странице Upload License & Insurance","chromium","Sun May 10 09:08:48 UTC 2026","failed","Sun May 10 09:09:04 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","0","Спецсимволы и длинный запрос","firefox","Sun May 10 09:30:43 UTC 2026","skipped","Sun May 10 09:30:43 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","22208","Password Confirmation: Валидация и безопасность","webkit","Sun May 10 09:47:15 UTC 2026","passed","Sun May 10 09:47:37 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Email - проверка максимальной длины","chromium","Sun May 10 08:49:19 UTC 2026","skipped","Sun May 10 08:49:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","27257","Навигация и проверка страницы Reviews Settings","firefox","Sun May 10 09:34:32 UTC 2026","passed","Sun May 10 09:34:59 UTC 2026","Reviews Settings Suite @regression","ui/navigation/G Login and Navigation to Reviews Settings - User use Lite plan.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","firefox","Sun May 10 09:13:41 UTC 2026","skipped","Sun May 10 09:13:41 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидный поисковый запрос через Enter","chromium","Sun May 10 09:05:40 UTC 2026","skipped","Sun May 10 09:05:40 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","8700","Навигация и проверка страницы Messages","firefox","Sun May 10 09:35:32 UTC 2026","passed","Sun May 10 09:35:41 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Проверка производительности","firefox","Sun May 10 09:30:43 UTC 2026","skipped","Sun May 10 09:30:43 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","15612","Навигация и проверка страницы Account Settings с валидацией поля Name","chromium","Sun May 10 09:10:46 UTC 2026","failed","Sun May 10 09:11:01 UTC 2026","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","0","Валидация формата email","webkit","Sun May 10 09:39:33 UTC 2026","skipped","Sun May 10 09:39:33 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена (user@)","chromium","Sun May 10 08:49:19 UTC 2026","skipped","Sun May 10 08:49:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сложности пароля","webkit","Sun May 10 09:39:33 UTC 2026","skipped","Sun May 10 09:39:33 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка видимости полей формы","chromium","Sun May 10 08:49:19 UTC 2026","skipped","Sun May 10 08:49:19 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Remember Me - проверка чекбокса ""Запомнить меня""","firefox","Sun May 10 09:13:41 UTC 2026","skipped","Sun May 10 09:13:41 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","4177","Успешная авторизация с валидными данными","firefox","Sun May 10 09:13:36 UTC 2026","failed","Sun May 10 09:13:40 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","17209","Навигация и проверка страницы Account Settings с валидацией поля Name","firefox","Sun May 10 09:36:20 UTC 2026","failed","Sun May 10 09:36:37 UTC 2026","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","webkit","Sun May 10 09:39:33 UTC 2026","skipped","Sun May 10 09:39:33 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для пустого поля","firefox","Sun May 10 09:13:41 UTC 2026","skipped","Sun May 10 09:13:41 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","10989","Business Name: Валидация и стили","webkit","Sun May 10 09:44:31 UTC 2026","passed","Sun May 10 09:44:42 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","firefox","Sun May 10 09:13:41 UTC 2026","skipped","Sun May 10 09:13:41 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
