"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17666","Password Confirmation: Валидация и безопасность","webkit","Sat May 09 09:18:41 UTC 2026","passed","Sat May 09 09:18:59 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","19597","Signup Button: Валидация и функциональность","firefox","Sat May 09 09:02:54 UTC 2026","passed","Sat May 09 09:03:14 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Проверка производительности","firefox","Sat May 09 09:07:12 UTC 2026","skipped","Sat May 09 09:07:12 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","1","Password - проверка безопасности (XSS и SQL-инъекции)","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Валидация некорректного email: без имени пользователя (@test.com)","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","31272","Навигация и проверка страницы Request Quotes","chromium","Sat May 09 08:45:42 UTC 2026","passed","Sat May 09 08:46:13 UTC 2026","Request Quotes Suite @regression","ui/navigation/H Login and Navigation to Request Quotes - User use Lite plan.spec.ts","",""
"","0","Визуальные проверки и доступность","firefox","Sat May 09 09:07:12 UTC 2026","skipped","Sat May 09 09:07:12 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","13764","Password Confirmation: Валидация и безопасность","chromium","Sat May 09 08:37:26 UTC 2026","passed","Sat May 09 08:37:40 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","9196","Навигация и проверка страницы Messages","firefox","Sat May 09 09:12:05 UTC 2026","passed","Sat May 09 09:12:15 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Password - проверка максимальной длины","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Email - проверка сообщения об ошибке для пустого поля","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","16464","Signup Button: Валидация и взаимодействие","chromium","Sat May 09 08:41:02 UTC 2026","passed","Sat May 09 08:41:19 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","9252","Загрузка и удаление логотипа в Contractor Profile Setup","chromium","Sat May 09 08:44:08 UTC 2026","failed","Sat May 09 08:44:18 UTC 2026","Business Logo Management Suite @regression","ui/navigation/E Login and Navigation to Contractor Profile Setup - User use Lite plan.spec.ts","",""
"","15893","Password: Валидация и стили","chromium","Sat May 09 08:40:29 UTC 2026","passed","Sat May 09 08:40:45 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","1","Remember Me - проверка чекбокса ""Запомнить меня""","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка регистра","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","35085","Email: Проверка форматов и безопасности","firefox","Sat May 09 09:01:39 UTC 2026","passed","Sat May 09 09:02:14 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","18744","Загрузка документа на странице Upload License & Insurance","firefox","Sat May 09 09:10:44 UTC 2026","failed","Sat May 09 09:11:03 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","1","Registration Submission: End-to-End Flow","chromium","Sat May 09 08:39:59 UTC 2026","skipped","Sat May 09 08:39:59 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сложности пароля","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка минимальной длины","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка регистра","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","17407","Навигация и проверка страницы Account Settings с валидацией поля Name","firefox","Sat May 09 09:12:53 UTC 2026","failed","Sat May 09 09:13:11 UTC 2026","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","0","Password - проверка минимальной длины","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка типов полей ввода","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Пустой ввод","firefox","Sat May 09 09:07:12 UTC 2026","skipped","Sat May 09 09:07:12 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Password - проверка безопасности (XSS и SQL-инъекции)","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","5211","Комплексная проверка элементов хедера и навигации","chromium","Sat May 09 08:49:20 UTC 2026","passed","Sat May 09 08:49:25 UTC 2026","Header Navigation Audit @regression","ui/navigation/N Header Navigation and UI Audit.spec.ts","",""
"","0","Password - проверка пробелов","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","21078","Signup Button: Валидация и функциональность","webkit","Sat May 09 09:18:59 UTC 2026","passed","Sat May 09 09:19:20 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","11178","Загрузка и удаление логотипа в Contractor Profile Setup","firefox","Sat May 09 09:09:48 UTC 2026","failed","Sat May 09 09:10:00 UTC 2026","Business Logo Management Suite @regression","ui/navigation/E Login and Navigation to Contractor Profile Setup - User use Lite plan.spec.ts","",""
"","6596","Навигация к форме Homeowner Signup и проверка отображения","firefox","Sat May 09 09:05:15 UTC 2026","passed","Sat May 09 09:05:21 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Валидация некорректного email: без имени пользователя (@test.com)","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","UI/UX: Проверка адаптивности и пользовательского интерфейса","firefox","Sat May 09 09:05:14 UTC 2026","skipped","Sat May 09 09:05:14 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","1","Валидация формата email","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","chromium","Sat May 09 08:45:15 UTC 2026","skipped","Sat May 09 08:45:15 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","0","Password - проверка пробелов","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","71885","Full Name: Валидация и форматы","firefox","Sat May 09 09:00:27 UTC 2026","passed","Sat May 09 09:01:39 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","18779","Signup Button: Валидация и функциональность","chromium","Sat May 09 08:37:40 UTC 2026","passed","Sat May 09 08:37:59 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Спецсимволы и длинный запрос","chromium","Sat May 09 08:41:45 UTC 2026","skipped","Sat May 09 08:41:45 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Remember Me - проверка чекбокса ""Запомнить меня""","firefox","Sat May 09 08:49:58 UTC 2026","skipped","Sat May 09 08:49:58 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","14632","Email: Валидация и стили","chromium","Sat May 09 08:40:15 UTC 2026","passed","Sat May 09 08:40:29 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","32310","Навигация и проверка страницы Request Quotes","firefox","Sat May 09 09:11:33 UTC 2026","passed","Sat May 09 09:12:05 UTC 2026","Request Quotes Suite @regression","ui/navigation/H Login and Navigation to Request Quotes - User use Lite plan.spec.ts","",""
"","30346","Проверка функциональности переключателя меню","chromium","Sat May 09 08:47:15 UTC 2026","passed","Sat May 09 08:47:45 UTC 2026","Menu Toggle Suite @regression","ui/navigation/K Login and Navigation to Menu Toggle - User use Lite plan.spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","firefox","Sat May 09 09:11:04 UTC 2026","skipped","Sat May 09 09:11:04 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","0","UI/UX: Проверка адаптивности и пользовательского интерфейса","chromium","Sat May 09 08:39:59 UTC 2026","skipped","Sat May 09 08:39:59 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","70418","Full Name: Валидация и форматы","chromium","Sat May 09 08:35:18 UTC 2026","passed","Sat May 09 08:36:28 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Проверка производительности","chromium","Sat May 09 08:41:45 UTC 2026","skipped","Sat May 09 08:41:45 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","30238","Проверка элементов футера и навигационных ссылок","chromium","Sat May 09 08:48:49 UTC 2026","broken","Sat May 09 08:49:19 UTC 2026","Footer and Links Validation @regression","ui/navigation/M Footer Navigation and Sections Audit.spec.ts","",""
"","0","Email - проверка спецсимволов","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация формата email","chromium","Sat May 09 08:25:08 UTC 2026","skipped","Sat May 09 08:25:08 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидный поисковый запрос через Enter","firefox","Sat May 09 09:07:12 UTC 2026","skipped","Sat May 09 09:07:12 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Password - проверка максимальной длины","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация обязательных полей","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка видимости полей формы","webkit","Sat May 09 09:16:13 UTC 2026","skipped","Sat May 09 09:16:13 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","8651","Навигация и проверка страницы Messages","chromium","Sat May 09 08:46:13 UTC 2026","passed","Sat May 09 08:46:22 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
