"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Password - проверка безопасности (XSS и SQL-инъекции)","chromium","Thu Apr 16 08:23:05 UTC 2026","skipped","Thu Apr 16 08:23:05 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Неуспешная авторизация с неверными данными","webkit","Thu Apr 16 09:13:53 UTC 2026","skipped","Thu Apr 16 09:13:53 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка стилей элементов","chromium","Thu Apr 16 08:39:28 UTC 2026","skipped","Thu Apr 16 08:39:28 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","6017","Business Phone Number: Валидация и форматы","firefox","Thu Apr 16 08:59:33 UTC 2026","passed","Thu Apr 16 08:59:39 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Валидация некорректного email: без @ (user)","chromium","Thu Apr 16 08:23:05 UTC 2026","skipped","Thu Apr 16 08:23:05 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","25474","Навигация и проверка страницы Reviews Settings","chromium","Thu Apr 16 08:42:51 UTC 2026","passed","Thu Apr 16 08:43:17 UTC 2026","Reviews Settings Suite @regression","ui/navigation/G Login and Navigation to Reviews Settings - User use Lite plan.spec.ts","",""
"","0","Функциональные клики в навигации","firefox","Thu Apr 16 09:04:25 UTC 2026","skipped","Thu Apr 16 09:04:25 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","30220","Комплексная проверка вкладки E-dition и интерактивного iframe","firefox","Thu Apr 16 09:05:32 UTC 2026","broken","Thu Apr 16 09:06:02 UTC 2026","Home Page E-dition Tab Audit @regression","ui/home/P Home Page Tab E-dition.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","webkit","Thu Apr 16 09:13:53 UTC 2026","skipped","Thu Apr 16 09:13:53 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","30171","Проверка элементов футера и навигационных ссылок","firefox","Thu Apr 16 09:11:59 UTC 2026","broken","Thu Apr 16 09:12:30 UTC 2026","Footer and Links Validation @regression","ui/navigation/M Footer Navigation and Sections Audit.spec.ts","",""
"","0","Remember Me - проверка чекбокса ""Запомнить меня""","webkit","Thu Apr 16 09:13:53 UTC 2026","skipped","Thu Apr 16 09:13:53 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Спецсимволы и длинный запрос","chromium","Thu Apr 16 08:39:28 UTC 2026","skipped","Thu Apr 16 08:39:28 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Проверка видимости полей формы","chromium","Thu Apr 16 08:23:05 UTC 2026","skipped","Thu Apr 16 08:23:05 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Визуальные проверки и доступность","chromium","Thu Apr 16 08:39:28 UTC 2026","skipped","Thu Apr 16 08:39:28 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","0","Валидация обязательных полей","webkit","Thu Apr 16 09:13:53 UTC 2026","skipped","Thu Apr 16 09:13:53 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","6014","01 - Авторизация и навигация на страницу Explanation","firefox","Thu Apr 16 09:06:22 UTC 2026","failed","Thu Apr 16 09:06:28 UTC 2026","Login and Navigation Suite @regression @smoke","ui/navigation/D Login and Navigation to Explanation - User use Lite plan.spec.ts","",""
"","0","Функциональные клики в навигации","chromium","Thu Apr 16 08:39:28 UTC 2026","skipped","Thu Apr 16 08:39:28 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","chromium","Thu Apr 16 08:23:05 UTC 2026","skipped","Thu Apr 16 08:23:05 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка лишних пробелов","chromium","Thu Apr 16 08:23:05 UTC 2026","skipped","Thu Apr 16 08:23:05 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","4617","01 - Авторизация и навигация на страницу Explanation","chromium","Thu Apr 16 08:41:17 UTC 2026","failed","Thu Apr 16 08:41:22 UTC 2026","Login and Navigation Suite @regression @smoke","ui/navigation/D Login and Navigation to Explanation - User use Lite plan.spec.ts","",""
"","14154","Password Confirmation: Валидация и безопасность","firefox","Thu Apr 16 08:59:57 UTC 2026","passed","Thu Apr 16 09:00:11 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","18006","Password: Валидация и безопасность","firefox","Thu Apr 16 08:59:39 UTC 2026","passed","Thu Apr 16 08:59:57 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
