"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31398","Навигация и проверка страницы Request Quotes","firefox","Sun Mar 22 08:15:43 UTC 2026","passed","Sun Mar 22 08:16:14 UTC 2026","Request Quotes Suite @regression","ui/navigation/H Login and Navigation to Request Quotes - User use Lite plan.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","firefox","Sun Mar 22 07:54:32 UTC 2026","skipped","Sun Mar 22 07:54:32 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","22363","Password Confirmation: Валидация и безопасность","webkit","Sun Mar 22 08:27:13 UTC 2026","passed","Sun Mar 22 08:27:36 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Email - проверка сообщения об ошибке для пустого поля","webkit","Sun Mar 22 08:19:32 UTC 2026","skipped","Sun Mar 22 08:19:32 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","15182","Навигация и проверка страницы Account Settings с валидацией поля Name","chromium","Sun Mar 22 07:53:11 UTC 2026","failed","Sun Mar 22 07:53:26 UTC 2026","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","0","Проверка видимости полей формы","firefox","Sun Mar 22 07:54:32 UTC 2026","skipped","Sun Mar 22 07:54:32 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена (user@)","chromium","Sun Mar 22 07:33:24 UTC 2026","skipped","Sun Mar 22 07:33:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка лишних пробелов","firefox","Sun Mar 22 07:54:32 UTC 2026","skipped","Sun Mar 22 07:54:32 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","15625","Password Confirmation: Валидация и стили","chromium","Sun Mar 22 07:48:45 UTC 2026","passed","Sun Mar 22 07:49:00 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Валидация формата email","webkit","Sun Mar 22 08:19:32 UTC 2026","skipped","Sun Mar 22 08:19:32 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","8232","Навигация и проверка страницы Messages","firefox","Sun Mar 22 08:16:14 UTC 2026","passed","Sun Mar 22 08:16:22 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
