"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33856","Email: Проверка форматов и безопасности","chromium","Fri May 01 09:05:37 UTC 2026","passed","Fri May 01 09:06:11 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","7416","Business Name: Валидация и стили","firefox","Fri May 01 09:28:57 UTC 2026","passed","Fri May 01 09:29:04 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","120093","reCAPTCHA: Visibility and Integration","chromium","Fri May 01 09:07:04 UTC 2026","broken","Fri May 01 09:09:05 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Валидация обязательных полей","webkit","Fri May 01 09:45:12 UTC 2026","skipped","Fri May 01 09:45:12 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","15132","Password: Валидация и стили","chromium","Fri May 01 09:09:33 UTC 2026","passed","Fri May 01 09:09:48 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Forgot Password - проверка функциональности","chromium","Fri May 01 08:54:24 UTC 2026","skipped","Fri May 01 08:54:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","30412","Комплексная проверка вкладки E-dition и интерактивного iframe","chromium","Fri May 01 09:11:50 UTC 2026","broken","Fri May 01 09:12:21 UTC 2026","Home Page E-dition Tab Audit @regression","ui/home/P Home Page Tab E-dition.spec.ts","",""
"","1","Валидация формата email","webkit","Fri May 01 09:45:12 UTC 2026","skipped","Fri May 01 09:45:12 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","15669","Навигация и проверка страницы Account Settings с валидацией поля Name","chromium","Fri May 01 09:15:46 UTC 2026","failed","Fri May 01 09:16:02 UTC 2026","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","1","Email - проверка регистра","chromium","Fri May 01 08:54:24 UTC 2026","skipped","Fri May 01 08:54:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","7894","Навигация и проверка страницы Messages","chromium","Fri May 01 09:15:04 UTC 2026","passed","Fri May 01 09:15:11 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","firefox","Fri May 01 09:39:29 UTC 2026","skipped","Fri May 01 09:39:29 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","0","Password - проверка сложности пароля","chromium","Fri May 01 08:54:24 UTC 2026","skipped","Fri May 01 08:54:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","UI/UX: Проверка адаптивности и пользовательского интерфейса","webkit","Fri May 01 09:50:09 UTC 2026","skipped","Fri May 01 09:50:09 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","6134","Навигация к форме Homeowner Signup и проверка отображения","firefox","Fri May 01 09:33:48 UTC 2026","passed","Fri May 01 09:33:54 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
