"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6261","Проверка элементов футера и навигационных ссылок","chromium","Sat Mar 28 08:01:32 UTC 2026","passed","Sat Mar 28 08:01:38 UTC 2026","Footer and Links Validation @regression","ui/navigation/M Footer Navigation and Sections Audit.spec.ts","",""
"","1","Registration Submission: End-to-End Flow","chromium","Sat Mar 28 07:54:23 UTC 2026","skipped","Sat Mar 28 07:54:23 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","firefox","Sat Mar 28 08:23:19 UTC 2026","skipped","Sat Mar 28 08:23:19 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","0","Password - проверка отображения (скрыт/показать)","firefox","Sat Mar 28 08:02:18 UTC 2026","skipped","Sat Mar 28 08:02:18 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","chromium","Sat Mar 28 07:39:24 UTC 2026","skipped","Sat Mar 28 07:39:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка максимальной длины","webkit","Sat Mar 28 08:27:00 UTC 2026","skipped","Sat Mar 28 08:27:00 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","42393","Проверка функциональности переключателя меню","chromium","Sat Mar 28 08:00:47 UTC 2026","passed","Sat Mar 28 08:01:29 UTC 2026","Menu Toggle Suite @regression","ui/navigation/K Login and Navigation to Menu Toggle - User use Lite plan.spec.ts","",""
"","4440","Delete Admin Action - Cancel/Dismiss @new","firefox","Sat Mar 28 08:01:54 UTC 2026","passed","Sat Mar 28 08:01:58 UTC 2026","Admin Panel / All Admins Management @regression","ui/admin/Q Admin Panel All Admins.spec.ts","",""
"","35164","Проверка функциональности переключателя меню","firefox","Sat Mar 28 08:25:29 UTC 2026","passed","Sat Mar 28 08:26:05 UTC 2026","Menu Toggle Suite @regression","ui/navigation/K Login and Navigation to Menu Toggle - User use Lite plan.spec.ts","",""
"","0","Спецсимволы и длинный запрос","chromium","Sat Mar 28 07:56:11 UTC 2026","skipped","Sat Mar 28 07:56:11 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","16384","Signup Button: Валидация и взаимодействие","chromium","Sat Mar 28 07:55:27 UTC 2026","passed","Sat Mar 28 07:55:44 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
