"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Password - проверка максимальной длины","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка максимальной длины","chromium","Sat Apr 04 07:42:31 UTC 2026","skipped","Sat Apr 04 07:42:31 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","15307","Навигация и проверка страницы Account Settings с валидацией поля Name","chromium","Sat Apr 04 08:02:29 UTC 2026","failed","Sat Apr 04 08:02:44 UTC 2026","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","0","Remember Me - проверка чекбокса ""Запомнить меня""","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена (user@)","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Визуальные проверки и доступность","firefox","Sat Apr 04 08:20:45 UTC 2026","skipped","Sat Apr 04 08:20:45 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","28329","Проверка функциональности переключателя меню","chromium","Sat Apr 04 08:02:45 UTC 2026","passed","Sat Apr 04 08:03:14 UTC 2026","Menu Toggle Suite @regression","ui/navigation/K Login and Navigation to Menu Toggle - User use Lite plan.spec.ts","",""
"","5752","Business Phone Number: Валидация и форматы","firefox","Sat Apr 04 08:15:57 UTC 2026","passed","Sat Apr 04 08:16:02 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Email - проверка максимальной длины","chromium","Sat Apr 04 07:42:31 UTC 2026","skipped","Sat Apr 04 07:42:31 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без имени пользователя (@test.com)","chromium","Sat Apr 04 07:42:31 UTC 2026","skipped","Sat Apr 04 07:42:31 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","chromium","Sat Apr 04 07:42:31 UTC 2026","skipped","Sat Apr 04 07:42:31 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для пустого поля","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","9298","Search, Sort and View Admin Details","webkit","Sat Apr 04 08:26:09 UTC 2026","passed","Sat Apr 04 08:26:18 UTC 2026","Admin Panel / All Admins Management @regression","ui/admin/Q Admin Panel All Admins.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Валидация обязательных полей","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Неуспешная авторизация с неверными данными","chromium","Sat Apr 04 07:42:31 UTC 2026","skipped","Sat Apr 04 07:42:31 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","12641","Password Confirmation: Валидация и безопасность","chromium","Sat Apr 04 07:54:36 UTC 2026","passed","Sat Apr 04 07:54:48 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Пустой ввод","firefox","Sat Apr 04 08:20:45 UTC 2026","skipped","Sat Apr 04 08:20:45 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Валидация некорректного email: без имени пользователя (@test.com)","firefox","Sat Apr 04 08:03:50 UTC 2026","skipped","Sat Apr 04 08:03:50 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка безопасности (XSS и SQL-инъекции)","webkit","Sat Apr 04 08:26:39 UTC 2026","skipped","Sat Apr 04 08:26:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","firefox","Sat Apr 04 08:03:50 UTC 2026","skipped","Sat Apr 04 08:03:50 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","15280","Password Confirmation: Валидация и безопасность","webkit","Sat Apr 04 08:39:24 UTC 2026","passed","Sat Apr 04 08:39:39 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Спецсимволы и длинный запрос","chromium","Sat Apr 04 07:58:44 UTC 2026","skipped","Sat Apr 04 07:58:44 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
