"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8078","Навигация и проверка страницы Messages","chromium","Thu May 14 09:47:43 UTC 2026","passed","Thu May 14 09:47:51 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Пустой ввод","firefox","Thu May 14 10:08:24 UTC 2026","skipped","Thu May 14 10:08:24 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Спецсимволы и длинный запрос","chromium","Thu May 14 09:43:23 UTC 2026","skipped","Thu May 14 09:43:23 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","firefox","Thu May 14 09:51:24 UTC 2026","skipped","Thu May 14 09:51:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","9748","Full Name: Валидация и стили","firefox","Thu May 14 10:06:36 UTC 2026","passed","Thu May 14 10:06:46 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","chromium","Thu May 14 09:27:02 UTC 2026","skipped","Thu May 14 09:27:02 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка производительности","firefox","Thu May 14 10:08:24 UTC 2026","skipped","Thu May 14 10:08:24 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","71435","Full Name: Валидация и форматы","firefox","Thu May 14 10:01:45 UTC 2026","passed","Thu May 14 10:02:56 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","30335","Комплексная проверка вкладки E-dition и интерактивного iframe","chromium","Thu May 14 09:44:28 UTC 2026","broken","Thu May 14 09:44:58 UTC 2026","Home Page E-dition Tab Audit @regression","ui/home/P Home Page Tab E-dition.spec.ts","",""
"","7570","Business Name: Валидация и стили","firefox","Thu May 14 10:01:37 UTC 2026","passed","Thu May 14 10:01:44 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","firefox","Thu May 14 09:51:24 UTC 2026","skipped","Thu May 14 09:51:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","18379","Signup Button: Валидация и функциональность","chromium","Thu May 14 09:39:24 UTC 2026","passed","Thu May 14 09:39:42 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","1","Password - проверка безопасности (XSS и SQL-инъекции)","firefox","Thu May 14 09:51:24 UTC 2026","skipped","Thu May 14 09:51:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","8920","Full Name: Валидация и стили","chromium","Thu May 14 09:41:48 UTC 2026","passed","Thu May 14 09:41:57 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","webkit","Thu May 14 10:17:39 UTC 2026","skipped","Thu May 14 10:17:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Несуществующий запрос","chromium","Thu May 14 09:43:23 UTC 2026","skipped","Thu May 14 09:43:23 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Email - проверка регистра","firefox","Thu May 14 09:51:24 UTC 2026","skipped","Thu May 14 09:51:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","8627","Навигация и проверка страницы Messages","firefox","Thu May 14 10:13:12 UTC 2026","passed","Thu May 14 10:13:20 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Password - проверка пробелов","chromium","Thu May 14 09:27:02 UTC 2026","skipped","Thu May 14 09:27:02 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","70567","Full Name: Валидация и форматы","chromium","Thu May 14 09:37:03 UTC 2026","passed","Thu May 14 09:38:14 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Password - проверка сообщения об ошибке для пустого поля","chromium","Thu May 14 09:27:02 UTC 2026","skipped","Thu May 14 09:27:02 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","34344","Проверка функциональности переключателя меню","firefox","Thu May 14 10:14:17 UTC 2026","passed","Thu May 14 10:14:52 UTC 2026","Menu Toggle Suite @regression","ui/navigation/K Login and Navigation to Menu Toggle - User use Lite plan.spec.ts","",""
"","0","Password - проверка пробелов","firefox","Thu May 14 09:51:24 UTC 2026","skipped","Thu May 14 09:51:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Registration Submission: End-to-End Flow","chromium","Thu May 14 09:41:42 UTC 2026","skipped","Thu May 14 09:41:42 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","30214","Комплексная проверка вкладки E-dition и интерактивного iframe","firefox","Thu May 14 10:09:31 UTC 2026","broken","Thu May 14 10:10:01 UTC 2026","Home Page E-dition Tab Audit @regression","ui/home/P Home Page Tab E-dition.spec.ts","",""
"","9255","Проверка элементов навигации и контента","firefox","Thu May 14 10:08:14 UTC 2026","failed","Thu May 14 10:08:24 UTC 2026","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","0","Проверка видимости полей формы","firefox","Thu May 14 09:51:24 UTC 2026","skipped","Thu May 14 09:51:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","120106","reCAPTCHA: Visibility and Integration","firefox","Thu May 14 10:04:29 UTC 2026","broken","Thu May 14 10:06:29 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Remember Me - проверка чекбокса ""Запомнить меня""","webkit","Thu May 14 10:17:39 UTC 2026","skipped","Thu May 14 10:17:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","9391","Business Phone Number: Валидация и форматы","webkit","Thu May 14 10:24:57 UTC 2026","passed","Thu May 14 10:25:07 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","chromium","Thu May 14 09:46:45 UTC 2026","skipped","Thu May 14 09:46:45 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","1","Email - проверка максимальной длины","firefox","Thu May 14 09:51:24 UTC 2026","skipped","Thu May 14 09:51:24 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Forgot Password - проверка функциональности","webkit","Thu May 14 10:17:39 UTC 2026","skipped","Thu May 14 10:17:39 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","13272","Password Confirmation: Валидация и безопасность","chromium","Thu May 14 09:39:10 UTC 2026","passed","Thu May 14 09:39:24 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Password - проверка сложности пароля","chromium","Thu May 14 09:27:02 UTC 2026","skipped","Thu May 14 09:27:02 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
