"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Проверка загруженного документа в админ-панели","firefox","Wed Apr 22 09:10:55 UTC 2026","skipped","Wed Apr 22 09:10:55 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","5178","Комплексная проверка элементов хедера и навигации","chromium","Wed Apr 22 08:49:16 UTC 2026","passed","Wed Apr 22 08:49:22 UTC 2026","Header Navigation Audit @regression","ui/navigation/N Header Navigation and UI Audit.spec.ts","",""
"","17112","Загрузка документа на странице Upload License & Insurance","chromium","Wed Apr 22 08:44:55 UTC 2026","failed","Wed Apr 22 08:45:12 UTC 2026","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","0","Валидный поисковый запрос через Enter","chromium","Wed Apr 22 08:41:45 UTC 2026","skipped","Wed Apr 22 08:41:45 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","6378","Навигация к форме Homeowner Signup и проверка отображения","firefox","Wed Apr 22 09:05:09 UTC 2026","passed","Wed Apr 22 09:05:16 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Валидация некорректного email: без домена (user@)","webkit","Wed Apr 22 09:16:02 UTC 2026","skipped","Wed Apr 22 09:16:02 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","30262","Проверка функциональности переключателя меню","chromium","Wed Apr 22 08:47:12 UTC 2026","passed","Wed Apr 22 08:47:42 UTC 2026","Menu Toggle Suite @regression","ui/navigation/K Login and Navigation to Menu Toggle - User use Lite plan.spec.ts","",""
"","13514","Password Confirmation: Валидация и безопасность","chromium","Wed Apr 22 08:37:28 UTC 2026","passed","Wed Apr 22 08:37:41 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","120100","reCAPTCHA: Visibility and Integration","chromium","Wed Apr 22 08:38:00 UTC 2026","broken","Wed Apr 22 08:40:00 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","39561","Email: Проверка форматов и безопасности","webkit","Wed Apr 22 09:22:38 UTC 2026","passed","Wed Apr 22 09:23:17 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Неуспешная авторизация с неверными данными","firefox","Wed Apr 22 08:49:54 UTC 2026","skipped","Wed Apr 22 08:49:54 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","8370","Навигация и проверка страницы Messages","chromium","Wed Apr 22 08:46:11 UTC 2026","passed","Wed Apr 22 08:46:19 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","firefox","Wed Apr 22 08:49:54 UTC 2026","skipped","Wed Apr 22 08:49:54 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","webkit","Wed Apr 22 09:16:02 UTC 2026","skipped","Wed Apr 22 09:16:02 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","16866","Password: Валидация и стили","firefox","Wed Apr 22 09:05:42 UTC 2026","passed","Wed Apr 22 09:05:59 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Пустой ввод","chromium","Wed Apr 22 08:41:45 UTC 2026","skipped","Wed Apr 22 08:41:45 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Email - проверка максимальной длины","chromium","Wed Apr 22 08:25:12 UTC 2026","skipped","Wed Apr 22 08:25:12 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка безопасности (XSS и SQL-инъекции)","firefox","Wed Apr 22 08:49:54 UTC 2026","skipped","Wed Apr 22 08:49:54 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без @ (user)","webkit","Wed Apr 22 09:16:02 UTC 2026","skipped","Wed Apr 22 09:16:02 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","6125","01 - Авторизация и навигация на страницу Explanation","firefox","Wed Apr 22 09:09:03 UTC 2026","failed","Wed Apr 22 09:09:09 UTC 2026","Login and Navigation Suite @regression @smoke","ui/navigation/D Login and Navigation to Explanation - User use Lite plan.spec.ts","",""
"","15793","Email: Валидация и стили","firefox","Wed Apr 22 09:05:26 UTC 2026","passed","Wed Apr 22 09:05:42 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","chromium","Wed Apr 22 08:25:12 UTC 2026","skipped","Wed Apr 22 08:25:12 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка регистра","firefox","Wed Apr 22 08:49:54 UTC 2026","skipped","Wed Apr 22 08:49:54 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Registration Submission: End-to-End Flow","firefox","Wed Apr 22 09:05:09 UTC 2026","skipped","Wed Apr 22 09:05:09 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Password - проверка сообщения об ошибке для пустого поля","chromium","Wed Apr 22 08:25:12 UTC 2026","skipped","Wed Apr 22 08:25:12 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","18543","Signup Button: Валидация и функциональность","chromium","Wed Apr 22 08:37:41 UTC 2026","passed","Wed Apr 22 08:38:00 UTC 2026","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
