"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17521","Signup Button: Валидация и функциональность","chromium","2026-08-12","passed","2026-08-12","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Password - проверка сообщения об ошибке для неверного пароля","firefox","2026-08-12","skipped","2026-08-12","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","chromium","2026-08-12","skipped","2026-08-12","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Неуспешная авторизация с неверными данными","chromium","2026-08-12","skipped","2026-08-12","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","17373","Навигация и проверка страницы Account Settings с валидацией поля Name","firefox","2026-08-12","failed","2026-08-12","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","5818","Навигация к форме Homeowner Signup и проверка отображения","firefox","2026-08-12","passed","2026-08-12","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Проверка видимости полей формы","webkit","2026-08-12","skipped","2026-08-12","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Функциональные клики в навигации","chromium","2026-08-12","skipped","2026-08-12","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","0","Несуществующий запрос","chromium","2026-08-12","skipped","2026-08-12","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","1","Валидация некорректного email: точка в конце домена (user@test.)","webkit","2026-08-12","skipped","2026-08-12","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","6751","Проверка элементов навигации и контента","chromium","2026-08-12","failed","2026-08-12","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
