"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8224","Business Name: Валидация и стили","firefox","2026-07-03","passed","2026-07-03","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","15981","Password: Валидация и стили","chromium","2026-07-03","passed","2026-07-03","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Проверка стилей элементов","firefox","2026-07-03","skipped","2026-07-03","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","1","Валидация некорректного email: без имени пользователя (@test.com)","webkit","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Email - проверка безопасности (XSS и SQL-инъекции)","webkit","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Неуспешная авторизация с неверными данными","firefox","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","39766","Email: Проверка форматов и безопасности","webkit","2026-07-03","passed","2026-07-03","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","16540","Signup Button: Валидация и взаимодействие","firefox","2026-07-03","passed","2026-07-03","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","120099","reCAPTCHA: Visibility and Integration","firefox","2026-07-03","broken","2026-07-03","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","8699","Загрузка и удаление логотипа в Contractor Profile Setup","chromium","2026-07-03","failed","2026-07-03","Business Logo Management Suite @regression","ui/navigation/E Login and Navigation to Contractor Profile Setup - User use Lite plan.spec.ts","",""
"","9094","Навигация и проверка страницы Messages","chromium","2026-07-03","passed","2026-07-03","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","webkit","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка видимости полей формы","firefox","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация формата email","chromium","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","12021","Business Name: Валидация и стили","webkit","2026-07-03","passed","2026-07-03","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Registration Submission: End-to-End Flow","firefox","2026-07-03","skipped","2026-07-03","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","chromium","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка лишних пробелов","firefox","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Email - проверка максимальной длины","chromium","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидный поисковый запрос через Enter","firefox","2026-07-03","skipped","2026-07-03","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","15371","Email: Валидация и стили","firefox","2026-07-03","passed","2026-07-03","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","35715","Проверка функциональности переключателя меню","firefox","2026-07-03","passed","2026-07-03","Menu Toggle Suite @regression","ui/navigation/K Login and Navigation to Menu Toggle - User use Lite plan.spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","firefox","2026-07-03","skipped","2026-07-03","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","17873","Password: Валидация и безопасность","chromium","2026-07-03","passed","2026-07-03","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","10977","Загрузка и удаление логотипа в Contractor Profile Setup","firefox","2026-07-03","failed","2026-07-03","Business Logo Management Suite @regression","ui/navigation/E Login and Navigation to Contractor Profile Setup - User use Lite plan.spec.ts","",""
"","15533","Email: Валидация и стили","chromium","2026-07-03","passed","2026-07-03","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","32210","Навигация и проверка страницы Request Quotes","firefox","2026-07-03","passed","2026-07-03","Request Quotes Suite @regression","ui/navigation/H Login and Navigation to Request Quotes - User use Lite plan.spec.ts","",""
"","9193","Навигация и проверка страницы Messages","firefox","2026-07-03","passed","2026-07-03","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Password - проверка пробелов","firefox","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка максимальной длины","chromium","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","1","Password - проверка максимальной длины","firefox","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","31031","Навигация и проверка страницы Request Quotes","chromium","2026-07-03","passed","2026-07-03","Request Quotes Suite @regression","ui/navigation/H Login and Navigation to Request Quotes - User use Lite plan.spec.ts","",""
"","0","Password - проверка безопасности (XSS и SQL-инъекции)","firefox","2026-07-03","skipped","2026-07-03","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","18924","Signup Button: Валидация и функциональность","chromium","2026-07-03","passed","2026-07-03","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
