"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17454","Навигация и проверка страницы Account Settings с валидацией поля Name","firefox","2026-07-15","failed","2026-07-15","Account Settings Suite @regression","ui/navigation/J Login and Navigation to Account Settings - User use Lite plan.spec.ts","",""
"","0","Email - проверка максимальной длины","chromium","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","5240","Успешная авторизация с валидными данными","webkit","2026-07-15","failed","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","33957","Email: Проверка форматов и безопасности","chromium","2026-07-15","passed","2026-07-15","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Email - проверка регистра","firefox","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка типов полей ввода","chromium","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","14596","Password Confirmation: Валидация и безопасность","firefox","2026-07-15","passed","2026-07-15","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","3693","Успешная авторизация с валидными данными","chromium","2026-07-15","failed","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","15713","Email: Валидация и стили","firefox","2026-07-15","passed","2026-07-15","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Email - проверка безопасности (XSS и SQL-инъекции)","firefox","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка загруженного документа в админ-панели","chromium","2026-07-15","skipped","2026-07-15","Upload License and Insurance Suite @regression","ui/navigation/F Login and Navigation to Upload License and Insurance - User use Lite plan.spec.ts","",""
"","0","Remember Me - проверка чекбокса ""Запомнить меня""","webkit","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","5548","Навигация к форме Homeowner Signup и проверка отображения","chromium","2026-07-15","passed","2026-07-15","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","0","Password - проверка безопасности (XSS и SQL-инъекции)","webkit","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Проверка производительности","chromium","2026-07-15","skipped","2026-07-15","Home Page Tests @regression @smoke","ui/home/L Home Page .spec.ts","",""
"","16395","Signup Button: Валидация и взаимодействие","chromium","2026-07-15","passed","2026-07-15","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","15623","Search, Sort and View Admin Details","webkit","2026-07-15","passed","2026-07-15","Admin Panel / All Admins Management @regression","ui/admin/Q Admin Panel All Admins.spec.ts","",""
"","36317","Email: Проверка форматов и безопасности","webkit","2026-07-15","passed","2026-07-15","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","19231","Signup Button: Валидация и функциональность","firefox","2026-07-15","passed","2026-07-15","Contractor Registration Fields @regression","ui/auth/B Sign Up Form Contractor Registration .spec.ts","",""
"","0","Валидация некорректного email: точка в конце домена (user@test.)","chromium","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","chromium","2026-07-15","skipped","2026-07-15","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
