"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17170","Password Confirmation: Валидация и стили","firefox","Fri May 08 08:59:15 UTC 2026","passed","Fri May 08 08:59:33 UTC 2026","Homeowner Signup Navigation @regression","ui/auth/C Sign Up Form Homeowner.spec.ts","",""
"","1","Валидация некорректного email: без имени пользователя (@test.com)","chromium","Fri May 08 08:19:16 UTC 2026","skipped","Fri May 08 08:19:16 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена (user@)","webkit","Fri May 08 09:09:25 UTC 2026","skipped","Fri May 08 09:09:25 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","firefox","Fri May 08 08:43:26 UTC 2026","skipped","Fri May 08 08:43:26 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Валидация формата email","chromium","Fri May 08 08:19:16 UTC 2026","skipped","Fri May 08 08:19:16 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Forgot Password - проверка функциональности","webkit","Fri May 08 09:09:25 UTC 2026","skipped","Fri May 08 09:09:25 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","7760","Навигация и проверка страницы Messages","chromium","Fri May 08 08:39:49 UTC 2026","passed","Fri May 08 08:39:57 UTC 2026","Messages Suite @regression","ui/navigation/I Login and Navigation to Messages - User use Lite plan.spec.ts","",""
"","0","Password - проверка безопасности (XSS и SQL-инъекции)","chromium","Fri May 08 08:19:16 UTC 2026","skipped","Fri May 08 08:19:16 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Несуществующий запрос","chromium","Fri May 08 08:35:32 UTC 2026","skipped","Fri May 08 08:35:32 UTC 2026","Home Page Tests @regression @smoke > Search Functionality Audit @search","ui/home/L Home Page .spec.ts","",""
"","0","Валидация некорректного email: без домена верхнего уровня (user@test)","webkit","Fri May 08 09:09:25 UTC 2026","skipped","Fri May 08 09:09:25 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","0","Password - проверка сообщения об ошибке для пустого поля","webkit","Fri May 08 09:09:25 UTC 2026","skipped","Fri May 08 09:09:25 UTC 2026","Login Form Suite @regression @smoke","ui/auth/A Login Form Validation.spec.ts","",""
"","11432","Search, Sort and View Admin Details","webkit","Fri May 08 09:08:51 UTC 2026","passed","Fri May 08 09:09:02 UTC 2026","Admin Panel / All Admins Management @regression","ui/admin/Q Admin Panel All Admins.spec.ts","",""
